tree,ntips,exact_time,approx_time
1,10,484.730917,166.871834
2,10,235.425209,172.596542
3,10,195.0555,150.681
4,10,157.369292,140.138334
5,10,154.048708,150.168334
6,10,158.750458,139.951375
7,10,144.990834,136.963334
8,10,143.432833,137.698167
9,10,158.558,144.281875
10,10,139.8575,135.523792
1,100,244.242792,200.476709
2,100,275.147958,153.872458
3,100,242.499,191.285958
4,100,274.381,156.273625
5,100,234.189125,158.629667
6,100,231.664459,160.619041
7,100,232.129167,171.253458
8,100,288.252417,165.096
9,100,235.415958,173.455083
10,100,222.980375,179.38
1,1000,796.750458,191.540375
2,1000,1221.801292,187.357042
3,1000,1185.830375,226.760375
4,1000,1250.554625,203.962
5,1000,1285.4845,192.009375
6,1000,1748.1435,198.368625
7,1000,1366.723875,191.725208
8,1000,1410.81425,194.493417
9,1000,1413.968791,194.888625
10,1000,1255.516166,171.981917
1,5000,5832.41425,220.573416
2,5000,5734.836125,212.730875
3,5000,5738.508959,210.614125
4,5000,6603.348459,266.597166
5,5000,6537.412208,210.346125
6,5000,5713.194042,213.7475
7,5000,5651.010833,215.69825
8,5000,5769.090125,201.441375
9,5000,6580.286584,231.576708
10,5000,6397.063583,225.977541
