tree,ntips,exact_time,exact_logL,approx_time,approx_logL
1,10,511.043583,-44.1223981311562,177.223917,-44.100046602906886
2,10,180.801083,-47.795429701426144,145.157125,-47.69011768746735
3,10,193.623166,-47.261116245882135,150.478209,-47.17230123053936
4,10,153.054458,-45.74511406068329,136.071625,-45.733771414797104
5,10,152.296708,-49.93941269599674,149.317458,-49.76759152998079
6,10,176.6915,-46.99082844128155,145.313,-46.940323333273184
7,10,146.689375,-47.239161068818106,136.177333,-47.246957380694326
8,10,148.615041,-49.65886051173284,140.940125,-49.538749321727565
9,10,157.329334,-51.167951270064805,147.801375,-51.15278428913547
10,10,145.734,-48.133458350082705,137.898709,-48.11804062268598
1,100,230.487667,-719.8344891946525,190.325875,-718.8777585699984
2,100,229.8235,-719.408980637384,154.749542,-717.7232359101808
3,100,280.758917,-732.9371320628202,199.485167,-731.6824933310614
4,100,274.697167,-718.1875860748655,206.131875,-717.3539942123859
5,100,237.421,-725.0899720352288,166.132125,-723.9006536828857
6,100,318.160584,-718.528666173135,159.566625,-717.7793535660696
7,100,241.033583,-703.8140800137198,166.291708,-703.4036759568964
8,100,229.524125,-721.9044758995694,156.930125,-720.2513398634627
9,100,240.344916,-719.0626552662934,165.48225,-717.7395493961335
10,100,220.497667,-721.045973132517,161.569416,-720.2298603470942
1,1000,1033.878417,-9438.85733999672,201.429,-9428.632542519987
2,1000,1247.60575,-9459.969744571867,195.455708,-9452.364729885827
3,1000,1242.453,-9454.548068904694,200.343792,-9446.867958894309
4,1000,1327.071541,-9439.69168989512,211.852709,-9430.852043125215
5,1000,1268.327958,-9459.81646635705,207.08875,-9449.380971198216
6,1000,1199.740333,-9443.820327111658,200.777958,-9434.468073449261
7,1000,1239.215084,-9444.790405703145,195.241708,-9435.621201135746
8,1000,1278.687208,-9471.610244012267,208.08175,-9462.374077442662
9,1000,1226.031625,-9452.839215413205,191.678292,-9444.159176472156
10,1000,1210.568584,-9492.270072440631,199.404166,-9482.782837942159
1,5000,6078.367542,-55336.94957769093,209.170541,-55288.59092006915
2,5000,5880.327917,-55392.2567876314,214.303209,-55342.69835426267
3,5000,5937.341167,-55381.413306808514,206.557625,-55334.526987504476
4,5000,6358.973666,-55389.26865029227,227.346125,-55337.67689988533
5,5000,6389.9755,-55363.40621088761,211.691083,-55318.924073344024
6,5000,6209.392333,-55368.35503995893,220.905167,-55323.304772524134
7,5000,6676.876209,-55382.03381495987,214.635666,-55335.22530761834
8,5000,6038.365541,-55385.83956109096,207.206334,-55340.31692204061
9,5000,6327.9825,-55258.99088733726,211.6935,-55213.12361838289
10,5000,6232.163917,-55377.59997148193,201.9395,-55326.385971978394
